gbifid	latitude	longitude	presence	wc2.1_2.5m_bio_1	wc2.1_2.5m_bio_2	wc2.1_2.5m_bio_3	wc2.1_2.5m_bio_4	wc2.1_2.5m_bio_5	wc2.1_2.5m_bio_6	wc2.1_2.5m_bio_7	wc2.1_2.5m_bio_8	wc2.1_2.5m_bio_9	wc2.1_2.5m_bio_10	wc2.1_2.5m_bio_11	wc2.1_2.5m_bio_12	wc2.1_2.5m_bio_13	wc2.1_2.5m_bio_14	wc2.1_2.5m_bio_15	wc2.1_2.5m_bio_16	wc2.1_2.5m_bio_17	wc2.1_2.5m_bio_18	wc2.1_2.5m_bio_19
1802715325	32.336862000000004	-110.910003	1	17.309667587280273	13.245333671569824	43.77175521850586	675.13665771484375	33.08000183105469	2.819999933242798	30.26000213623047	25.253334045410156	19.91066551208496	25.618667602539062	9.41866683959961	538	90	9	57.295310974121094	233	36	189	144
1699370255	32.262837	-111.062758	1	20.491500854492188	15.21833324432373	44.92364501953125	741.9853515625	37.70800018310547	3.8320000171661377	33.875999450683594	29.05000114440918	23.934667587280273	29.59866714477539	11.645333290100098	311	57	5	60.60208511352539	143	20	116	78
1438807932	32.210834	-114.00598	1	21.975666046142578	15.038000106811523	45.31155776977539	724.3873291015625	39.08000183105469	5.892000198364258	33.18800354003906	28.12266731262207	24.461999893188477	30.902667999267578	13.380000114440918	112	18	1	53.53813934326172	47	5	44	34
1668885103	33.449705	-112.072142	1	22.766834259033203	16.189666748046875	44.23406219482422	802.8720703125	41.72800064086914	5.127999782562256	36.60000228881836	32.31999969482422	26.2413330078125	32.79133224487305	13.320000648498535	200	30	2	48.11068344116211	72	12	53	59
1500286452	32.330425	-111.081842	1	20.679832458496094	15.885666847229004	45.83285140991211	750.74139404296875	38.20000076293945	3.5399999618530273	34.65999984741211	29.383333206176758	24.142000198364258	29.89666748046875	11.718667030334473	295	54	5	60.19724655151367	134	18	108	76
1702490428	33.00343	-111.746299	1	21.535999298095703	17.50666618347168	45.97821807861328	813.75396728515625	41.439998626708984	3.364000082015991	38.07600021362305	31.257999420166016	24.8526668548584	31.591999053955078	11.866000175476074	242	39	2	51.471561431884766	88	14	69	73
1802700720	32.2897	-111.110328	1	20.074832916259766	14.451000213623047	44.176448822021484	727.54217529296875	36.79999923706055	4.0879998207092285	32.711997985839844	28.45400047302246	23.385332107543945	29.007999420166016	11.418000221252441	345	62	5	61.349246978759766	159	21	128	88
1802704488	32.088281	-110.669363	1	19.345666885375977	16.826000213623047	48.35613250732422	716.18817138671875	37.22800064086914	2.431999921798706	34.79600143432617	27.687999725341797	22.513999938964844	28.21466827392578	10.909333229064941	360	75	5	71.6047134399414	183	22	152	82
1500338912	31.985163	-112.836662	1	21.204166412353516	16.177000045776367	46.81928634643555	723.61041259765625	39.22800064086914	4.676000118255615	34.552001953125	30.049999237060547	23.817333221435547	30.20133399963379	12.71066665649414	216	41	2	61.5832405090332	95	9	71	61
1640106602	33.298458	-111.088598	1	19.171667098999023	13.59666633605957	41.30716323852539	756.6011962890625	36.66400146484375	3.747999906539917	32.91600036621094	11.14133358001709	21.61400032043457	28.390666961669922	10.353333473205566	474	64	6	46.510169982910156	155	33	121	151
